"","disasterNumber","state.x","county","city","zipCode","validRegistrations","totalInspected","totalInspectedWithNoDamage","totalWithModerateDamage","totalWithMajorDamage","totalWithSubstantialDamage","approvedForFemaAssistance","totalApprovedIhpAmount","repairReplaceAmount","rentalAmount","otherNeedsAmount","approvedBetween1And10000","approvedBetween10001And25000","approvedBetween25001AndMax","totalMaxGrants","id","femaDeclarationString","state.y","declarationType","declarationDate","fyDeclared","incidentType","declarationTitle","ihProgramDeclared","iaProgramDeclared","paProgramDeclared","hmProgramDeclared","incidentBeginDate","incidentEndDate","disasterCloseoutDate"
"47",1460,"FL","Miami-Dade (County)","MIAMI","33162",33,31,33,0,0,0,9,16850.97,0,1626,15224.97,9,0,0,0,"624804b3cbab24a500aeb551","DR-1460-FL","FL","DR","2003-04-25T16:45:00.000Z",2003,"Severe Storm(s)","SEVERE STORMS AND TORNADOES",1,1,0,1,"2003-03-27T18:00:00.000Z","2003-03-27T22:00:00.000Z","2010-11-08T00:00:00.000Z"
"48",1460,"FL","Miami-Dade (County)","NORTH MIAMI BEACH","33169",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"624804b3cbab24a500aeb55b","DR-1460-FL","FL","DR","2003-04-25T16:45:00.000Z",2003,"Severe Storm(s)","SEVERE STORMS AND TORNADOES",1,1,0,1,"2003-03-27T18:00:00.000Z","2003-03-27T22:00:00.000Z","2010-11-08T00:00:00.000Z"
"49",1460,"FL","Miami-Dade (County)","GOULDS","33170",12,12,12,0,0,0,6,10895,0,1626,9269,6,0,0,0,"624804b3cbab24a500aeb55d","DR-1460-FL","FL","DR","2003-04-25T16:45:00.000Z",2003,"Severe Storm(s)","SEVERE STORMS AND TORNADOES",1,1,0,1,"2003-03-27T18:00:00.000Z","2003-03-27T22:00:00.000Z","2010-11-08T00:00:00.000Z"
"50",1460,"FL","Miami-Dade (County)","MIAMI","33179",33,32,33,0,0,0,8,17104.34,0,3252,13852.34,8,0,0,0,"624804b3cbab24a500aeb567","DR-1460-FL","FL","DR","2003-04-25T16:45:00.000Z",2003,"Severe Storm(s)","SEVERE STORMS AND TORNADOES",1,1,0,1,"2003-03-27T18:00:00.000Z","2003-03-27T22:00:00.000Z","2010-11-08T00:00:00.000Z"
"51",1460,"FL","Miami-Dade (County)","MIAMI","33180",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"624804b3cbab24a500aeb569","DR-1460-FL","FL","DR","2003-04-25T16:45:00.000Z",2003,"Severe Storm(s)","SEVERE STORMS AND TORNADOES",1,1,0,1,"2003-03-27T18:00:00.000Z","2003-03-27T22:00:00.000Z","2010-11-08T00:00:00.000Z"
"52",1460,"FL","Miami-Dade (County)","MIAMI","33182",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"624804b3cbab24a500aeb56d","DR-1460-FL","FL","DR","2003-04-25T16:45:00.000Z",2003,"Severe Storm(s)","SEVERE STORMS AND TORNADOES",1,1,0,1,"2003-03-27T18:00:00.000Z","2003-03-27T22:00:00.000Z","2010-11-08T00:00:00.000Z"
"53",1460,"FL","Miami-Dade (County)","MIAMI BEACH","33139",2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,"624804b3cbab24a500aeb537","DR-1460-FL","FL","DR","2003-04-25T16:45:00.000Z",2003,"Severe Storm(s)","SEVERE STORMS AND TORNADOES",1,1,0,1,"2003-03-27T18:00:00.000Z","2003-03-27T22:00:00.000Z","2010-11-08T00:00:00.000Z"
"54",1460,"FL","Miami-Dade (County)","MIAMI","33148",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"624804b3cbab24a500aeb543","DR-1460-FL","FL","DR","2003-04-25T16:45:00.000Z",2003,"Severe Storm(s)","SEVERE STORMS AND TORNADOES",1,1,0,1,"2003-03-27T18:00:00.000Z","2003-03-27T22:00:00.000Z","2010-11-08T00:00:00.000Z"
"55",1460,"FL","Miami-Dade (County)","MIAMI","33156",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,"624804b3cbab24a500aeb548","DR-1460-FL","FL","DR","2003-04-25T16:45:00.000Z",2003,"Severe Storm(s)","SEVERE STORMS AND TORNADOES",1,1,0,1,"2003-03-27T18:00:00.000Z","2003-03-27T22:00:00.000Z","2010-11-08T00:00:00.000Z"
"56",1460,"FL","Miami-Dade (County)","CUTLER RIDGE","33157",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,"624804b3cbab24a500aeb549","DR-1460-FL","FL","DR","2003-04-25T16:45:00.000Z",2003,"Severe Storm(s)","SEVERE STORMS AND TORNADOES",1,1,0,1,"2003-03-27T18:00:00.000Z","2003-03-27T22:00:00.000Z","2010-11-08T00:00:00.000Z"
